Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,43.689999,43.830002,43.310001,43.480000,39.338432,58936300
2016-08-08,43.430000,44.189999,43.220001,44.029999,39.836033,46605900
2016-08-15,44.099998,44.330002,43.740002,43.919998,39.736511,49835400
2016-08-22,43.939999,43.980000,43.310001,43.320000,39.193672,50258100
2016-08-29,43.340000,43.830002,43.080002,43.660000,39.501278,46966400
2016-09-05,43.740002,43.799999,42.270000,42.270000,38.243687,50901600
2016-09-12,42.360001,43.230000,41.880001,42.139999,38.126060,65231400
2016-09-19,42.160000,43.009998,42.080002,42.740002,38.984837,47862800
2016-09-26,42.709999,42.759998,41.849998,42.320000,38.601734,69527600
2016-10-03,42.310001,42.340000,41.570000,41.730000,38.063580,52288500
2016-10-10,41.919998,41.990002,41.400002,41.669998,38.008835,60998400
2016-10-17,41.730000,42.169998,41.570000,42.130001,38.428432,63479200
2016-10-24,42.320000,43.029999,41.900002,42.230000,38.519642,74745500
2016-10-31,42.119999,42.430000,41.689999,41.689999,38.027084,63307400
2016-11-07,42.040001,42.980000,40.630001,41.029999,37.425072,94092600
2016-11-14,41.130001,41.650002,40.849998,40.910000,37.315620,77493700
2016-11-21,40.910000,41.700001,40.730000,41.529999,37.881145,41734100
2016-11-28,41.509998,41.790001,39.880001,40.360001,36.813938,84842900
2016-12-05,40.340000,42.220001,40.310001,42.000000,38.633728,82210700
2016-12-12,42.000000,42.009998,41.060001,41.740002,38.394566,88426300
2016-12-19,41.689999,41.830002,41.080002,41.599998,38.265781,47315100
2016-12-26,41.560001,41.840000,41.349998,41.459999,38.137009,34332700
2017-01-02,41.500000,41.970001,41.279999,41.740002,38.394566,43885300
2017-01-09,41.230000,41.580002,40.689999,40.880001,37.603497,60460200
2017-01-16,40.840000,41.439999,40.799999,41.320000,38.008224,48542400
2017-01-23,41.310001,42.250000,41.209999,41.450001,38.127808,63151400
2017-01-30,41.299999,41.790001,41.209999,41.540001,38.210598,56782400
2017-02-06,41.529999,42.150002,40.549999,40.580002,37.327541,99365300
2017-02-13,40.770000,41.360001,40.220001,41.230000,37.925438,119675600
2017-02-20,41.200001,42.000000,41.200001,41.779999,38.431358,54331500
2017-02-27,41.750000,42.560001,41.590000,42.480000,39.075253,70042800
2017-03-06,42.340000,42.430000,41.740002,42.290001,38.900482,73083600
2017-03-13,41.919998,42.389999,41.830002,42.029999,38.661324,98964500
2017-03-20,42.099998,42.700001,41.910000,42.119999,39.086075,65584700
2017-03-27,42.110001,42.650002,42.049999,42.439999,39.383026,59643000
2017-04-03,42.580002,42.860001,42.270000,42.610001,39.540779,57955600
2017-04-10,42.730000,43.080002,42.509998,42.790001,39.707817,41645400
2017-04-17,42.790001,43.790001,42.779999,43.070000,39.967648,63064900
2017-04-24,43.240002,43.430000,42.820000,43.150002,40.041885,69799500
2017-05-01,43.150002,43.840000,43.099998,43.689999,40.542992,53747200
2017-05-08,43.590000,43.910000,43.360001,43.590000,40.450188,44712300
2017-05-15,43.459999,44.169998,43.459999,43.900002,40.737862,59114900
2017-05-22,43.889999,45.560001,43.810001,45.389999,42.120533,65637900
2017-05-29,45.160000,45.889999,45.110001,45.889999,42.584526,48214500
2017-06-05,45.779999,46.060001,44.970001,45.320000,42.055576,54866000
2017-06-12,45.320000,45.480000,44.799999,45.310001,42.046303,69683400
2017-06-19,45.349998,45.869999,45.029999,45.250000,42.336185,49052500
2017-06-26,45.320000,45.509998,44.650002,44.849998,41.961945,47034400
2017-07-03,45.110001,45.270000,44.240002,44.389999,41.531567,35967100
2017-07-10,44.450001,44.770000,44.150002,44.680000,41.802895,42640700
2017-07-17,44.660000,45.070000,44.549999,45.029999,42.130352,39189200
2017-07-24,45.040001,46.430000,44.310001,46.009998,43.047241,63949300
2017-07-31,46.000000,46.080002,45.380001,45.500000,42.570087,57902600
2017-08-07,45.520000,45.900002,45.330002,45.590000,42.654289,38868700
2017-08-14,45.669998,46.340000,45.619999,45.669998,42.729137,45503400
2017-08-21,45.669998,45.799999,45.310001,45.570000,42.635574,42836300
2017-08-28,45.630001,45.799999,45.250000,45.779999,42.832050,44576900
2017-09-04,45.750000,46.369999,45.650002,46.299999,43.318569,39108900
2017-09-11,46.349998,46.980000,45.939999,46.180000,43.206299,59126100
2017-09-18,46.150002,46.240002,45.360001,45.490002,42.899384,42439900
2017-09-25,45.500000,45.869999,44.380001,45.009998,42.446720,49383300
2017-10-02,45.049999,45.750000,44.750000,45.490002,42.899384,52459400
2017-10-09,45.549999,46.380001,45.340000,46.180000,43.550091,33053100
2017-10-16,46.119999,46.790001,46.099998,46.380001,43.738701,43842500
2017-10-23,46.380001,46.759998,45.910000,46.070000,43.446354,49244400
2017-10-30,46.000000,46.169998,45.630001,45.970001,43.352055,33878200
2017-11-06,45.910000,46.639999,45.310001,46.540001,43.889584,39461500
2017-11-13,46.599998,47.480000,45.250000,45.709999,43.106857,69500500
2017-11-20,45.650002,46.049999,45.419998,45.880001,43.267178,40872400
2017-11-27,45.880001,46.150002,45.029999,45.970001,43.352055,60200500
2017-12-04,45.990002,46.480000,45.049999,45.310001,43.079960,61693500
2017-12-11,45.310001,46.419998,44.919998,46.189999,43.916641,66327300
2017-12-18,46.200001,46.380001,45.549999,45.590000,43.346176,40784400
2017-12-25,45.700001,46.180000,45.610001,45.880001,43.621906,26671400
2018-01-01,45.910000,46.220001,45.340000,46.070000,43.802551,49330300
2018-01-08,45.950001,46.389999,45.860001,46.150002,43.878613,49885000
2018-01-15,46.150002,47.250000,46.139999,47.160000,44.838905,56742700
